Time	mass relative_mass x-momentum relative-x y-momentum	relative-y Energy relative-energy
5300 1.60028e-05 0.00218864 0.000209367 0.0146561 5.76784e-05 0.00735909 0.000325201 0.00251354
5400 1.56735e-05 0.00214361 0.000204013 0.0142813 5.58441e-05 0.00712505 0.000317153 0.00245134
5500 1.53736e-05 0.00210259 0.000198717 0.0139106 5.42259e-05 0.00691859 0.000309393 0.00239136
5600 1.51065e-05 0.00206605 0.000193504 0.0135457 5.27904e-05 0.00673543 0.000302073 0.00233479
5700 1.48655e-05 0.0020331 0.000188402 0.0131885 5.14831e-05 0.00656863 0.000295188 0.00228156
5800 1.46434e-05 0.00200272 0.000183432 0.0128406 5.02416e-05 0.00641023 0.000288693 0.00223137
5900 1.44378e-05 0.0019746 0.000178606 0.0125028 4.90105e-05 0.00625316 0.000282588 0.00218418
6000 1.42509e-05 0.00194904 0.000173923 0.012175 4.77557e-05 0.00609306 0.000276899 0.00214021
6100 1.4085e-05 0.00192635 0.000169372 0.0118564 4.64728e-05 0.00592938 0.000271635 0.00209952
6200 1.39398e-05 0.00190649 0.000164938 0.011546 4.51846e-05 0.00576503 0.000266754 0.00206179
6300 1.38123e-05 0.00188906 0.000160604 0.0112426 4.39287e-05 0.00560479 0.000262189 0.00202651
6400 1.36995e-05 0.00187363 0.000156359 0.0109454 4.27419e-05 0.00545337 0.000257887 0.00199326
6500 1.35993e-05 0.00185993 0.000152196 0.010654 4.1647e-05 0.00531367 0.000253834 0.00196193
6600 1.35114e-05 0.00184791 0.000148113 0.0103682 4.06469e-05 0.00518607 0.000250051 0.00193269
6700 1.34363e-05 0.00183763 0.000144117 0.0100885 3.97254e-05 0.0050685 0.000246573 0.00190581
6800 1.3374e-05 0.00182912 0.000140212 0.00981514 3.88537e-05 0.00495728 0.000243427 0.00188149
6900 1.33239e-05 0.00182227 0.000136407 0.00954877 3.79992e-05 0.00484825 0.000240609 0.00185972
7000 1.32839e-05 0.00181679 0.000132706 0.00928972 3.71347e-05 0.00473796 0.000238083 0.00184019
7100 1.32503e-05 0.0018122 0.000129112 0.00903812 3.62451e-05 0.00462445 0.000235777 0.00182237
7200 1.32185e-05 0.00180784 0.000125623 0.00879385 3.533e-05 0.00450769 0.000233594 0.00180549
7300 1.31833e-05 0.00180303 0.000122233 0.00855658 3.44016e-05 0.00438924 0.000231431 0.00178877
7400 1.31404e-05 0.00179716 0.000118937 0.00832584 3.34806e-05 0.00427173 0.000229196 0.0017715
7500 1.30863e-05 0.00178977 0.000115728 0.00810121 3.25889e-05 0.00415796 0.000226825 0.00175317
7600 1.30193e-05 0.0017806 0.000112601 0.00788232 3.17446e-05 0.00405024 0.000224279 0.00173349
7700 1.29386e-05 0.00176957 0.000109553 0.00766893 3.09582e-05 0.0039499 0.000221546 0.00171237
7800 1.28445e-05 0.00175669 0.000106582 0.00746095 3.02311e-05 0.00385714 0.000218632 0.00168985
7900 1.27377e-05 0.00174208 0.000103688 0.00725839 2.95573e-05 0.00377116 0.000215551 0.00166604
8000 1.26192e-05 0.00172588 0.000100873 0.0070613 2.89258e-05 0.00369059 0.000212322 0.00164108
8100 1.249e-05 0.00170822 9.81359e-05 0.00686971 2.8325e-05 0.00361393 0.000208963 0.00161512
8200 1.23513e-05 0.00168924 9.54776e-05 0.00668363 2.7745e-05 0.00353994 0.000205491 0.00158828
8300 1.22039e-05 0.00166908 9.28969e-05 0.00650297 2.71803e-05 0.00346788 0.000201919 0.00156067
8400 1.20485e-05 0.00164783 9.03919e-05 0.00632761 2.66289e-05 0.00339754 0.000198261 0.0015324
8500 1.1886e-05 0.0016256 8.79605e-05 0.00615741 2.60921e-05 0.00332905 0.000194531 0.00150357
