0.005 0.000155069
0.015 2.31215e-05
0.025 -4.09092e-05
0.035 -3.75842e-05
0.045 -8.60973e-06
0.055 6.1621e-06
0.065 -1.59605e-05
0.075 -8.65352e-05
0.085 -0.000214128
0.095 -0.000398429
0.105 -0.000602641
0.115 -0.000702349
0.125 -0.000411565
0.135 0.000810528
0.145 0.00386205
0.155 0.0100895
0.165 0.0213356
0.175 0.039904
0.185 0.0684042
0.195 0.109453
0.205 0.165236
0.215 0.236978
0.225 0.324392
0.235 0.425242
0.245 0.535125
0.255 0.647585
0.265 0.754614
0.275 0.847507
0.285 0.917962
0.295 0.95925
0.305 0.967223
0.315 0.940974
0.325 0.882999
0.335 0.798828
0.345 0.696196
0.355 0.583913
0.365 0.470669
0.375 0.363973
0.385 0.269407
0.395 0.190281
0.405 0.127692
0.415 0.0809017
0.425 0.047924
0.435 0.026161
0.445 0.0129583
0.455 0.00595907
0.465 0.00319454
0.475 0.00292658
0.485 0.00336651
0.495 0.00249682
0.505 -0.00173776
0.515 -0.0106925
0.525 -0.0238058
0.535 -0.0373127
0.545 -0.0435781
0.555 -0.0317625
0.565 0.00983963
0.575 0.0901526
0.585 0.211493
0.595 0.36712
0.605 0.541465
0.615 0.713421
0.625 0.861803
0.635 0.971064
0.645 1.03516
0.655 1.05821
0.665 1.05191
0.675 1.03108
0.685 1.00916
0.695 0.995256
0.705 0.993305
0.715 1.00268
0.725 1.01931
0.735 1.03636
0.745 1.04465
0.755 1.03324
0.765 0.991091
0.775 0.910066
0.785 0.788291
0.795 0.632584
0.805 0.458385
0.815 0.286648
0.825 0.138465
0.835 0.0293075
0.845 -0.0349072
0.855 -0.0584735
0.865 -0.0532132
0.875 -0.0337573
0.885 -0.0128014
0.895 0.00192213
0.905 0.00820956
0.915 0.00789504
0.925 0.00445848
0.935 0.000947668
0.945 -0.00106663
0.955 -0.00146488
0.965 -0.00092938
0.975 -0.000230383
0.985 0.000189527
0.995 0.000267666
